"state","lat","lon"
"AL",33.016191,-86.753353
"AK",61.408891,-148.961508
"AZ",33.371388,-111.882468
"AR",35.199251,-92.713212
"CA",35.491035,-119.347852
"CO",39.534747,-105.185361
"CT",41.492835,-72.878714
"DE",39.333614,-75.547709
"DC",38.910168,-77.013993
"FL",27.839295,-81.636016
"GE",33.410677,-83.891248
"HI",21.112376,-157.485304
"ID",44.220476,-115.22461
"IL",41.312077,-88.372974
"IN",40.144178,-86.251589
"IA",41.93663,-93.037218
"KS",38.480984,-96.409286
"KY",37.838308,-85.261296
"LA",30.696198,-91.474266
"ME",44.267404,-69.764596
"MD",39.136636,-76.802227
"MA",42.273659,-71.350366
"MI",42.864675,-84.213172
"MN",45.18999,-93.558751
"MS",32.575361,-89.566275
"MO",38.432921,-92.234929
"MT",46.760509,-111.318567
"NE",41.167883,-97.222143
"NV",37.015907,-116.173753
"NH",43.149147,-71.455608
"NJ",40.438248,-74.424465
"NM",34.607808,-106.332167
"NY",41.471783,-74.590827
"NC",35.538715,-79.675021
"ND",47.33954,-99.444952
"OH",40.438553,-82.796902
"OK",35.606866,-96.854171
"OR",44.753509,-122.588257
"PA",40.443486,-76.965232
"RI",41.755677,-71.450484
"SC",34.022471,-80.996482
"SD",43.986511,-98.922285
"TN",35.821189,-86.332487
"TX",30.909581,-97.328656
"UT",40.385835,-111.948021
"VT",44.101952,-72.82424
"VA",37.850195,-77.765608
"WA",47.329504,-121.63262
"WV",38.823276,-80.671314
"WI",43.723662,-89.031445
"WY",42.694801,-106.984779
