"","to","from","from_gdp","to_gdp","domestic","km","value","from_pop","to_pop"
"1","AB","KY",292818.69972,339674.4,0,2729.11735380816,161176381,4505836,4262635
"2","AB","HI",123720.42138,339674.4,0,5073.09077413273,3883924,1455271,4262635
"3","AB","CA",4071764.74893,339674.4,0,1890.46368636137,1868480315,39538223,4262635
"4","AB","FL",1504330.4142,339674.4,0,3797.32123078687,189987917,21538187,4262635
"5","AB","ME",92496.47403,339674.4,0,3337.18126557515,6277472,1362359,4262635
"6","AB","NB",34495.1,339674.4,1,3496.81257728155,256565000,775610,4262635
"7","AB","ON",833628.8,339674.4,1,2689.40295819105,7898893000,14223942,4262635
"8","AB","MD",556490.71404,339674.4,0,3183.93749333516,27558495,6177224,4262635
"9","AB","DC",192495.24066,339674.4,0,3185.72997149671,43349,689545,4262635
"10","AB","ID",112029.37086,339674.4,0,874.643174238529,420850946,1839106,4262635
"11","AB","VA",745322.11842,339674.4,0,3212.10872357682,84357643,8631393,4262635
"12","AB","NH",116592.31458,339674.4,0,3286.81168255077,10397499,1377529,4262635
"13","AB","NY",2371795.13721,339674.4,0,3176.47873705203,241166388,20201249,4262635
"14","AB","IN",510642.47103,339674.4,0,2491.3713474123,239695296,6785528,4262635
"15","AB","SK",79001.8,339674.4,1,555.598183289719,4318354000,1132505,4262635
"16","AB","NL",33159.5,339674.4,1,4182.43748318335,125124000,510550,4262635
"17","AB","SD",73212.76902,339674.4,0,1428.39000518203,76090608,886667,4262635
"18","AB","ND",80798.25825,339674.4,0,1164.92080917977,2761965752,779094,4262635
"19","AB","MT",69948.32964,339674.4,0,616.754764893106,299541085,1084225,4262635
"20","AB","NE",176276.27658,339674.4,0,1752.48594806291,72286281,1961504,4262635
"21","AB","TX",2474499.05487,339674.4,0,2714.85321962766,2396141278,29145505,4262635
"22","AB","VT",46123.44207,339674.4,0,3137.201834644,3183407,643077,4262635
"23","AB","OH",932697.64812,339674.4,0,2694.41920627154,418147816,11799448,4262635
"25","AB","WA",807608.92746,339674.4,0,761.137643790983,943892777,7705281,4262635
"26","AB","NM",137760.0849,339674.4,0,2032.5296483806,21916108,2117522,4262635
"27","AB","GA",858100.65702,339674.4,0,3175.47236778893,287457362,10711908,4262635
"28","AB","DE",104440.96245,339674.4,0,3254.48882563593,6054627,989948,4262635
"29","AB","MA",780309.41955,339674.4,0,3347.32183187839,68323229,7029917,4262635
"30","AB","KS",233625.69072,339674.4,0,2029.92663985736,178389119,2937880,4262635
"31","AB","OK",273331.71363,339674.4,0,2274.22520939804,358327333,3959353,4262635
"32","AB","NV",244960.46859,339674.4,0,1680.63102301899,226369301,3104614,4262635
"33","AB","MB",69243.2,339674.4,1,1117.92617425185,1864174000,1342153,4262635
"34","AB","NS",42703.5,339674.4,1,3719.22815723741,226829000,969383,4262635
"35","AB","WI",460310.36754,339674.4,0,2063.33115238762,352558465,5893718,4262635
"36","AB","PE",6778.2,339674.4,1,3657.37214516284,25614000,154331,4262635
"37","AB","MI",716840.87337,339674.4,0,2437.47801654641,76153366,10077331,4262635
"38","AB","AR",175981.17402,339674.4,0,2518.82436393334,71515405,3011524,4262635
"39","AB","MN",510657.73038,339674.4,0,1674.881907485,492330954,5706494,4262635
"40","AB","WV",106473.64056,339674.4,0,2949.57401385499,23853702,1793716,4262635
"41","AB","NJ",853618.25613,339674.4,0,3255.41094511012,142302326,9288994,4262635
"42","AB","OR",330108.57042,339674.4,0,1030.23617189515,80616861,4237256,4262635
"43","AB","QC",425276.7,339674.4,1,3034.65423186519,4366216000,8501833,4262635
"44","AB","AL",311553.73158,339674.4,0,3041.8521686174,194159133,5024279,4262635
"45","AB","UT",267121.15818,339674.4,0,1305.35087957919,303813213,3271616,4262635
"46","AB","CO",527898.67284,339674.4,0,1545.84858236388,279907413,5773714,4262635
"47","AB","TN",511961.8077,339674.4,0,2826.2482982859,189077266,6910840,4262635
"48","AB","MO",444180.04038,339674.4,0,2261.80735363693,108203023,6154913,4262635
"49","AB","IA",260420.71125,339674.4,0,1933.9430726769,211567209,3190369,4262635
"50","AB","WY",53115.14355,339674.4,0,1163.10401804951,93653665,576851,4262635
"51","AB","NC",786121.37424,339674.4,0,3263.37039378446,178133573,10439388,4262635
"52","AB","RI",83348.82543,339674.4,0,3372.85148239336,4549309,1097379,4262635
"53","AB","LA",341675.4231,339674.4,0,3001.53992745563,363181770,4657757,4262635
"55","AB","IL",1188374.02842,339674.4,0,2270.97612056149,2552833974,12812508,4262635
"56","AB","AK",72381.86424,339674.4,0,2341.8854235246,3421222,733391,4262635
"57","AB","PA",1064483.10039,339674.4,0,3083.06810315011,287563519,13002700,4262635
"58","AB","CT",380093.02611,339674.4,0,3291.91309754881,61937610,3605944,4262635
"60","AB","MS",154100.46033,339674.4,0,2925.1046652511,57043789,2961279,4262635
"61","AB","SC",331161.99633,339674.4,0,3301.59886387269,169911698,5118425,4262635
"62","AB","AZ",498087.34323,339674.4,0,2083.85584405501,224373178,7151502,4262635
"63","AB","BC",286182.1,339674.4,1,523.684887902884,6049051000,5000879,4262635
"64","BC","LA",341675.4231,286182.1,0,3255.67715875165,335419058,4657757,5000879
"65","BC","IA",260420.71125,286182.1,0,2312.75825828097,147353682,3190369,5000879
"66","BC","NV",244960.46859,286182.1,0,1503.8589611531,204408333,3104614,5000879
"67","BC","MA",780309.41955,286182.1,0,3833.83716211437,130327298,7029917,5000879
"68","BC","DC",192495.24066,286182.1,0,3631.13654515432,286132,689545,5000879
"69","BC","ME",92496.47403,286182.1,0,3836.93311761221,20210484,1362359,5000879
"70","BC","MS",154100.46033,286182.1,0,3219.77325502572,55017440,2961279,5000879
"72","BC","OH",932697.64812,286182.1,0,3124.80122475555,456222099,11799448,5000879
"73","BC","KS",233625.69072,286182.1,0,2317.49758590314,141496564,2937880,5000879
"74","BC","MB",69243.2,286182.1,1,1602.0580470881,1055012000,1342153,5000879
"75","BC","SC",331161.99633,286182.1,0,3684.53797960342,112152436,5118425,5000879
"76","BC","ID",112029.37086,286182.1,0,778.828902656631,238781484,1839106,5000879
"77","BC","NS",42703.5,286182.1,1,4231.43518049969,246261000,969383,5000879
"78","BC","AZ",498087.34323,286182.1,0,2001.54731144537,202778296,7151502,5000879
"79","BC","MT",69948.32964,286182.1,0,791.736102279041,72778293,1084225,5000879
"80","BC","AB",339674.4,286182.1,1,523.684887902884,9883177000,4262635,5000879
"81","BC","AR",175981.17402,286182.1,0,2807.67571643109,64186287,3011524,5000879
"82","BC","CO",527898.67284,286182.1,0,1697.65056312613,204675055,5773714,5000879
"83","BC","CA",4071764.74893,286182.1,0,1631.79459357418,3415977985,39538223,5000879
"84","BC","OK",273331.71363,286182.1,0,2514.34466758577,95737257,3959353,5000879
"85","BC","MO",444180.04038,286182.1,0,2597.61720372577,133142108,6154913,5000879
"86","BC","SK",79001.8,286182.1,1,1049.22169437514,1476902000,1132505,5000879
"87","BC","ND",80798.25825,286182.1,0,1591.47630088787,152863737,779094,5000879
"88","BC","IN",510642.47103,286182.1,0,2898.2769691669,420331331,6785528,5000879
"89","BC","SD",73212.76902,286182.1,0,1784.81078426828,53888842,886667,5000879
"90","BC","MN",510657.73038,286182.1,0,2100.99184166287,359110317,5706494,5000879
"92","BC","QC",425276.7,286182.1,1,3539.08921532438,3781905000,8501833,5000879
"93","BC","NL",33159.5,286182.1,1,4705.59773522704,72451000,510550,5000879
"94","BC","GA",858100.65702,286182.1,0,3531.24065403769,414761039,10711908,5000879
"95","BC","NH",116592.31458,286182.1,0,3777.70802980421,27285882,1377529,5000879
"96","BC","CT",380093.02611,286182.1,0,3769.8674793335,175917876,3605944,5000879
"97","BC","TN",511961.8077,286182.1,0,3185.63504728533,226769408,6910840,5000879
"98","BC","NC",786121.37424,286182.1,0,3667.79344467956,308315933,10439388,5000879
"99","BC","VT",46123.44207,286182.1,0,3630.07661257998,7991323,643077,5000879
"100","BC","AL",311553.73158,286182.1,0,3369.01071330184,166748728,5024279,5000879
"101","BC","NB",34495.1,286182.1,1,4009.25211994731,148088000,775610,5000879
"102","BC","NY",2371795.13721,286182.1,0,3649.08578871025,461404817,20201249,5000879
"103","BC","AK",72381.86424,286182.1,0,2139.54916478427,750110709,733391,5000879
"104","BC","WA",807608.92746,286182.1,0,315.961508806748,5267357564,7705281,5000879
"105","BC","KY",292818.69972,286182.1,0,3117.95653164625,115282140,4505836,5000879
"106","BC","TX",2474499.05487,286182.1,0,2892.92763251023,828714659,29145505,5000879
"107","BC","MI",716840.87337,286182.1,0,2884.61297600094,219933033,10077331,5000879
"108","BC","FL",1504330.4142,286182.1,0,4124.71169390853,242549351,21538187,5000879
"109","BC","WV",106473.64056,286182.1,0,3376.45781539206,11065907,1793716,5000879
"110","BC","HI",123720.42138,286182.1,0,4551.15749775255,14063567,1455271,5000879
"111","BC","NM",137760.0849,286182.1,0,2087.77849885179,11167870,2117522,5000879
"112","BC","PE",6778.2,286182.1,1,4172.85156403482,32161000,154331,5000879
"113","BC","WI",460310.36754,286182.1,0,2495.72117984434,532233110,5893718,5000879
"114","BC","IL",1188374.02842,286182.1,0,2677.3364214108,1099730467,12812508,5000879
"115","BC","DE",104440.96245,286182.1,0,3709.16766062975,4650386,989948,5000879
"116","BC","ON",833628.8,286182.1,1,3159.38091093243,6889809000,14223942,5000879
"117","BC","NJ",853618.25613,286182.1,0,3721.82081045985,155562875,9288994,5000879
"119","BC","WY",53115.14355,286182.1,0,1339.62839102629,22088433,576851,5000879
"120","BC","OR",330108.57042,286182.1,0,611.739262894345,1743610816,4237256,5000879
"121","BC","NE",176276.27658,286182.1,0,2074.20488701213,89646571,1961504,5000879
"122","BC","VA",745322.11842,286182.1,0,3645.84079061723,137181396,8631393,5000879
"123","BC","PA",1064483.10039,286182.1,0,3540.14047594702,344528595,13002700,5000879
"124","BC","RI",83348.82543,286182.1,0,3856.2891783871,14615939,1097379,5000879
"125","BC","MD",556490.71404,286182.1,0,3631.97022196273,48065931,6177224,5000879
"126","BC","UT",267121.15818,286182.1,0,1283.34510939405,185796682,3271616,5000879
"127","MB","NM",137760.0849,69243.2,0,1831.39357463576,9874234,2117522,1342153
"128","MB","MD",556490.71404,69243.2,0,2076.12217825726,41668847,6177224,1342153
"129","MB","ON",833628.8,69243.2,1,1572.00858963971,2524313000,14223942,1342153
"130","MB","AB",339674.4,69243.2,1,1117.92617425185,2902256000,4262635,1342153
"131","MB","IA",260420.71125,69243.2,0,982.020030989189,850182016,3190369,1342153
"132","MB","NC",786121.37424,69243.2,0,2200.92332702606,460328014,10439388,1342153
"133","MB","FL",1504330.4142,69243.2,0,2840.66218759629,397544611,21538187,1342153
"134","MB","VT",46123.44207,69243.2,0,2028.02592633253,4383903,643077,1342153
"135","MB","NJ",853618.25613,69243.2,0,2138.35954560831,259453843,9288994,1342153
"136","MB","AZ",498087.34323,69243.2,0,2158.45384361213,78938281,7151502,1342153
"137","MB","MO",444180.04038,69243.2,0,1371.34058629073,466806116,6154913,1342153
"138","MB","GA",858100.65702,69243.2,0,2189.70172257104,507953816,10711908,1342153
"139","MB","WA",807608.92746,69243.2,0,1734.13120011634,173755518,7705281,1342153
